name,sex,births,year
Joseph,M,191,2012
Stella,F,131,2012
Oliver,M,569,2012
Emily,F,546,2012
Eli,M,187,2012
Holly,F,127,2012
Noah,M,568,2012
Olivia,F,540,2012
Jaxon,M,187,2012
Alyssa,F,125,2012
Jack,M,565,2012
Chloe,F,530,2012
Adam,M,183,2012
Rose,F,124,2012
Ethan,M,549,2012
Amelia,F,522,2012
Hayden,M,182,2012
Imogen,F,124,2012
Thomas,M,515,2012
Mia,F,519,2012
Marcus,M,180,2012
Mackenzie,F,124,2012
Lachlan,M,515,2012
Sophie,F,494,2012
Christian,M,179,2012
Addison,F,124,2012
Joshua,M,514,2012
Isabella,F,489,2012
Luca,M,169,2012
Mila,F,123,2012
James,M,489,2012
Ava,F,464,2012
Kai,M,166,2012
Phoebe,F,121,2012
Cooper,M,455,2012
Sienna,F,423,2012
Angus,M,164,2012
Molly,F,120,2012
Jacob,M,455,2012
Ella,F,418,2012
Nathan,M,161,2012
Piper,F,115,2012
Liam,M,436,2012
Grace,F,417,2012
Chase,M,160,2012
Lara,F,113,2012
Alexander,M,425,2012
Sophia,F,409,2012
George,M,160,2012
Evelyn,F,112,2012
Benjamin,M,419,2012
Lily,F,378,2012
Connor,M,157,2012
Violet,F,111,2012
Isaac,M,384,2012
Zoe,F,338,2012
Edward,M,156,2012
Anna,F,109,2012
Ryan,M,369,2012
Emma,F,327,2012
Hugo,M,155,2012
Aaliyah,F,106,2012
Max,M,362,2012
Matilda,F,271,2012
Charles,M,149,2012
Victoria,F,104,2012
Daniel,M,350,2012
Hannah,F,269,2012
Jordan,M,148,2012
Madeleine,F,104,2012
Samuel,M,348,2012
Lucy,F,253,2012
Nate,M,148,2012
Ellie,F,104,2012
Charlie,M,343,2012
Ivy,F,247,2012
Toby,M,147,2012
Gabriella,F,103,2012
Jayden,M,324,2012
Isla,F,236,2012
Finn,M,140,2012
Poppy,F,99,2012
Xavier,M,318,2012
Scarlett,F,232,2012
Anthony,M,136,2012
Eliza,F,97,2012
Mason,M,315,2012
Jessica,F,219,2012
Hudson,M,136,2012
Eden,F,97,2012
Harrison,M,306,2012
Evie,F,217,2012
Ali,M,135,2012
Mikayla,F,96,2012
William,M,641,2011
Chloe,F,606,2011
Flynn,M,180,2011
Addison,F,131,2011
Lucas,M,594,2011
Ruby,F,595,2011
Connor,M,177,2011
Audrey,F,128,2011
Lachlan,M,579,2011
Olivia,F,557,2011
Zachary,M,176,2011
Molly,F,127,2011
Ethan,M,558,2011
Isabella,F,548,2011
Patrick,M,176,2011
Stella,F,124,2011
Oliver,M,549,2011
Mia,F,528,2011
Ashton,M,170,2011
Alyssa,F,121,2011
Jack,M,547,2011
Charlotte,F,516,2011
Christian,M,169,2011
Willow,F,121,2011
Noah,M,529,2011
Sophie,F,508,2011
George,M,166,2011
Harper,F,117,2011
Thomas,M,518,2011
Sienna,F,489,2011
Finn,M,163,2011
Ellie,F,114,2011
Joshua,M,504,2011
Ava,F,488,2011
Nathan,M,160,2011
Anna,F,114,2011
Cooper,M,499,2011
Amelia,F,484,2011
Nate,M,157,2011
Natalie,F,114,2011
Benjamin,M,472,2011
Ella,F,471,2011
Angus,M,156,2011
Phoebe,F,109,2011
James,M,471,2011
Emily,F,469,2011
Toby,M,154,2011
Lillian,F,108,2011
Jacob,M,466,2011
Grace,F,410,2011
Jordan,M,150,2011
Claire,F,105,2011
Samuel,M,460,2011
Lily,F,410,2011
Bailey,M,149,2011
Gabriella,F,104,2011
Liam,M,449,2011
Sophia,F,368,2011
Leo,M,148,2011
Rose,F,99,2011
Alexander,M,406,2011
Zoe,F,330,2011
Anthony,M,146,2011
Mikayla,F,99,2011
Max,M,383,2011
Emma,F,268,2011
Hamish,M,145,2011
Paige,F,98,2011
Charlie,M,382,2011
Matilda,F,256,2011
Edward,M,143,2011
Piper,F,98,2011
Isaac,M,359,2011
Hannah,F,253,2011
Caleb,M,143,2011
Evelyn,F,98,2011
Riley,M,354,2011
Jessica,F,242,2011
Andrew,M,143,2011
Madeleine,F,97,2011
Jayden,M,344,2011
Eva,F,240,2011
Ali,M,142,2011
Jade,F,95,2011
Xavier,M,331,2011
Isla,F,228,2011
Marcus,M,141,2011
Mila,F,95,2011
Ryan,M,326,2011
Georgia,F,226,2011
Charles,M,140,2011
Violet,F,95,2011
Daniel,M,316,2011
Scarlett,F,226,2011
Cameron,M,138,2011
Samantha,F,94,2011
Tyler,M,288,2011
Lucy,F,226,2011
Callum,M,138,2011
Victoria,F,93,2011
William,M,717,2010
Isabella,F,603,2010
Jordan,M,168,2010
Jade,F,126,2010
Jack,M,606,2010
Ruby,F,602,2010
Zachary,M,168,2010
Ellie,F,126,2010
Oliver,M,552,2010
Chloe,F,598,2010
Caleb,M,167,2010
Sofia,F,124,2010
Joshua,M,549,2010
Olivia,F,583,2010
Hunter,M,166,2010
Addison,F,119,2010
Thomas,M,548,2010
Charlotte,F,541,2010
Ashton,M,164,2010
Molly,F,119,2010
Lachlan,M,543,2010
Mia,F,520,2010
Toby,M,162,2010
Phoebe,F,114,2010
Cooper,M,529,2010
Lily,F,501,2010
Aidan,M,162,2010
Alice,F,111,2010
Noah,M,528,2010
Emily,F,482,2010
Hayden,M,161,2010
Savannah,F,109,2010
Ethan,M,528,2010
Ella,F,478,2010
Mason,M,160,2010
Gabriella,F,106,2010
Lucas,M,498,2010
Sienna,F,470,2010
Hamish,M,157,2010
Kayla,F,106,2010
James,M,474,2010
Sophie,F,470,2010
Edward,M,156,2010
Mikayla,F,105,2010
Samuel,M,453,2010
Amelia,F,467,2010
Angus,M,156,2010
Abbey,F,103,2010
Jacob,M,439,2010
Grace,F,434,2010
Eli,M,156,2010
Eliza,F,100,2010
Liam,M,421,2010
Ava,F,425,2010
Sebastian,M,156,2010
Willow,F,100,2010
Alexander,M,406,2010
Zoe,F,323,2010
Christian,M,154,2010
Alexandra,F,99,2010
Benjamin,M,389,2010
Emma,F,300,2010
Patrick,M,149,2010
Poppy,F,96,2010
Max,M,380,2010
Sophia,F,298,2010
Andrew,M,148,2010
Samantha,F,96,2010
Isaac,M,377,2010
Matilda,F,287,2010
Anthony,M,148,2010
Stella,F,96,2010
Daniel,M,365,2010
Hannah,F,276,2010
Luca,M,148,2010
Amy,F,95,2010
Riley,M,364,2010
Jessica,F,261,2010
Kai,M,147,2010
Amelie,F,95,2010
Ryan,M,362,2010
Lucy,F,247,2010
Beau,M,146,2010
Anna,F,94,2010
Charlie,M,338,2010
Georgia,F,231,2010
Alex,M,142,2010
Piper,F,93,2010
Tyler,M,321,2010
Sarah,F,223,2010
George,M,141,2010
Gemma,F,92,2010
Jake,M,307,2010
Abigail,F,220,2010
Callum,M,137,2010
Isabel,F,92,2010
Matthew,M,307,2010
Zara,F,217,2010
Finn,M,137,2010
Victoria,F,91,2010
Joshua,M,961,1999
Emily,F,816,1999
Corey,M,184,1999
Tayla,F,130,1999
Jack,M,881,1999
Jessica,F,702,1999
Callum,M,183,1999
Amy,F,129,1999
Lachlan,M,877,1999
Sarah,F,662,1999
Jarrod,M,179,1999
Claire,F,127,1999
Thomas,M,816,1999
Chloe,F,570,1999
Riley,M,174,1999
Abbey,F,126,1999
James,M,781,1999
Olivia,F,513,1999
Jason,M,174,1999
Tara,F,124,1999
Matthew,M,759,1999
Georgia,F,507,1999
Oliver,M,168,1999
Nicole,F,123,1999
Daniel,M,716,1999
Emma,F,477,1999
Peter,M,166,1999
Taylah,F,123,1999
Nicholas,M,660,1999
Isabella,F,383,1999
Justin,M,160,1999
Ashley,F,123,1999
William,M,589,1999
Hannah,F,367,1999
Max,M,149,1999
Christin,F,122,1999
Benjamin,M,561,1999
Sophie,F,361,1999
Cooper,M,149,1999
Isabelle,F,121,1999
Liam,M,558,1999
Samantha,F,331,1999
Sean,M,147,1999
Paige,F,120,1999
Jacob,M,540,1999
Caitlin,F,300,1999
Brendan,M,147,1999
Bianca,F,119,1999
Christopher,M,539,1999
Grace,F,300,1999
Harry,M,144,1999
Victoria,F,119,1999
Luke,M,525,1999
Lauren,F,295,1999
Tyler,M,139,1999
Anna,F,118,1999
Samuel,M,521,1999
Brooke,F,274,1999
Jeremy,M,139,1999
Tahlia,F,109,1999
Nathan,M,475,1999
Rebecca,F,253,1999
Caleb,M,139,1999
Eliza,F,107,1999
Dylan,M,469,1999
Courtney,F,248,1999
Cody,M,138,1999
Kiara,F,107,1999
Michael,M,463,1999
Laura,F,248,1999
George,M,133,1999
Shania,F,107,1999
Jake,M,429,1999
Maddison,F,246,1999
Alex,M,128,1999
Zoe,F,105,1999
Mitchel,M,425,1999
Alexandra,F,242,1999
Mark,M,127,1999
Molly,F,104,1999
Ryan,M,419,1999
Gabriell,F,241,1999
Aidan,M,126,1999
Lara,F,103,1999
Jordan,M,414,1999
Jasmine,F,230,1999
Kevin,M,125,1999
Mikayla,F,103,1999
Alexander,M,411,1999
Rachel,F,221,1999
Robert,M,125,1999
Danielle,F,102,1999
Andrew,M,360,1999
Stephani,F,218,1999
Rhys,M,121,1999
Michelle,F,100,1999
Jayden,M,322,1999
Chelsea,F,217,1999
Trista,M,118,1999
Julia,F,100,1999
Jack,M,707,1997
Jessica,F,934,1997
Toby,M,161,1997
Bianca,F,149,1997
William,M,643,1997
Emily,F,785,1997
Aidan,M,158,1997
Lucy,F,146,1997
Joshua,M,629,1997
Sarah,F,687,1997
Alex,M,156,1997
Jordan,F,146,1997
Lachlan,M,601,1997
Emma,F,553,1997
Christopher,M,156,1997
Melissa,F,146,1997
Thomas,M,591,1997
Georgia,F,473,1997
Ashton,M,150,1997
Danielle,F,144,1997
Riley,M,506,1997
Chloe,F,449,1997
Xavier,M,147,1997
Rachael,F,144,1997
Cooper,M,502,1997
Samantha,F,436,1997
Andrew,M,145,1997
Amber,F,143,1997
James,M,455,1997
Hannah,F,411,1997
Connor,M,144,1997
Amelia,F,143,1997
Noah,M,440,1997
Lauren,F,384,1997
Sebastian,M,136,1997
Cassandra,F,141,1997
Ethan,M,436,1997
Rebecca,F,382,1997
Cody,M,132,1997
Jennifer,F,140,1997
Daniel,M,432,1997
Courtney,F,375,1997
Marcus,M,130,1997
Paige,F,134,1997
Oliver,M,427,1997
Caitlin,F,338,1997
Aiden,M,129,1997
Anna,F,132,1997
Ryan,M,423,1997
Isabella,F,326,1997
Hunter,M,128,1997
Victoria,F,130,1997
Samuel,M,419,1997
Amy,F,318,1997
Jonathan,M,125,1997
Ebony,F,129,1997
Benjamin,M,377,1997
Laura,F,315,1997
Seth,M,124,1997
Eliza,F,124,1997
Matthew,M,375,1997
Sophie,F,311,1997
John,M,122,1997
Claire,F,124,1997
Liam,M,369,1997
Stephanie,F,296,1997
Charles,M,121,1997
Shannon,F,123,1997
Lucas,M,365,1997
Brooke,F,296,1997
Caleb,M,120,1997
Charlotte,F,121,1997
Alexander,M,363,1997
Olivia,F,288,1997
Joel,M,120,1997
Michelle,F,121,1997
Jayden,M,350,1997
Rachel,F,286,1997
Kai,M,119,1997
Rhiannon,F,114,1997
Jacob,M,344,1997
Taylor,F,284,1997
Callum,M,116,1997
Abbey,F,113,1997
Luke,M,340,1997
Maddison,F,257,1997
Zac,M,116,1997
Bethany,F,113,1997
Nicholas,M,317,1997
Grace,F,251,1997
Mason,M,115,1997
Katie,F,111,1997
Harrison,M,299,1997
Zoe,F,250,1997
David,M,112,1997
Amanda,F,111,1997
Isaac,M,263,1997
Ashleigh,F,244,1997
George,M,112,1997
Tahlia,F,110,1997
Joshua,M,1215,1996
Jessica,F,1094,1996
Brendan,M,178,1996
Amanda,F,154,1996
Daniel,M,905,1996
Emily,F,769,1996
Mark,M,176,1996
Chelsea,F,153,1996
Matthew,M,903,1996
Sarah,F,736,1996
Jarrod,M,175,1996
Cassandra,F,152,1996
James,M,881,1996
Emma,F,591,1996
Ethan,M,169,1996
Michelle,F,149,1996
Jack,M,780,1996
Samantha,F,478,1996
Scott,M,168,1996
Erin,F,149,1996
Thomas,M,734,1996
Lauren,F,396,1996
Sean,M,165,1996
Monique,F,149,1996
Nicholas,M,673,1996
Georgia,F,386,1996
Cody,M,165,1996
Amelia,F,143,1996
Luke,M,635,1996
Chloe,F,377,1996
Angus,M,162,1996
Shannon,F,141,1996
Benjamin,M,634,1996
Rebecca,F,361,1996
Dean,M,162,1996
Taylah,F,140,1996
Michael,M,624,1996
Stephanie,F,355,1996
Steven,M,159,1996
Jennifer,F,138,1996
Jake,M,616,1996
Courtney,F,352,1996
Alex,M,155,1996
Megan,F,137,1996
Mitchell,M,579,1996
Amy,F,347,1996
Kevin,M,151,1996
Eliza,F,131,1996
Dylan,M,569,1996
Hannah,F,340,1996
Jonathan,M,147,1996
Gabrielle,F,131,1996
Christopher,M,544,1996
Laura,F,332,1996
Jeremy,M,147,1996
Jordan,F,126,1996
Samuel,M,521,1996
Maddison,F,316,1996
Jamie,M,142,1996
Victoria,F,123,1996
Nathan,M,516,1996
Caitlin,F,308,1996
Adrian,M,128,1996
Angela,F,122,1996
Jordan,M,512,1996
Sophie,F,303,1996
Tyler,M,128,1996
Claire,F,118,1996
Andrew,M,509,1996
Brooke,F,286,1996
Edward,M,125,1996
Rachael,F,113,1996
Liam,M,495,1996
Taylor,F,263,1996
Brodie,M,125,1996
Ebony,F,113,1996
Jacob,M,488,1996
Rachel,F,261,1996
Rhys,M,124,1996
Amber,F,109,1996
Alexander,M,485,1996
Isabella,F,256,1996
Isaac,M,122,1996
Katherine,F,109,1996
Ryan,M,472,1996
Olivia,F,256,1996
Oliver,M,121,1996
Tahlia,F,108,1996
William,M,461,1996
Brittany,F,252,1996
Sam,M,119,1996
Vanessa,F,107,1996
Lachlan,M,450,1996
Ashleigh,F,244,1996
Callum,M,115,1996
Tegan,F,106,1996
Blake,M,395,1996
Alexandra,F,238,1996
Mathew,M,113,1996
Ellen,F,106,1996
Joshua,M,1260,1995
Jessica,F,1278,1995
Jayden,M,211,1995
Rachael,F,154,1995
Daniel,M,1074,1995
Emily,F,801,1995
Jarrod,M,210,1995
Amelia,F,154,1995
Matthew,M,1042,1995
Sarah,F,772,1995
Sean,M,209,1995
Michelle,F,154,1995
James,M,936,1995
Rebecca,F,529,1995
Kyle,M,209,1995
Amber,F,150,1995
Benjamin,M,776,1995
Emma,F,514,1995
Steven,M,196,1995
Lucy,F,150,1995
Thomas,M,764,1995
Lauren,F,495,1995
Jeremy,M,191,1995
Anna,F,150,1995
Jack,M,736,1995
Samantha,F,472,1995
Dean,M,187,1995
Holly,F,144,1995
Luke,M,718,1995
Stephanie,F,458,1995
Jonathan,M,182,1995
Renee,F,142,1995
Nicholas,M,716,1995
Laura,F,396,1995
Alex,M,179,1995
Shannon,F,141,1995
Michael,M,697,1995
Hannah,F,350,1995
Cody,M,172,1995
Victoria,F,138,1995
Jake,M,678,1995
Courtney,F,337,1995
Ethan,M,171,1995
Paige,F,137,1995
Mitchell,M,675,1995
Georgia,F,333,1995
Adrian,M,158,1995
Chelsea,F,136,1995
Nathan,M,643,1995
Rachel,F,325,1995
Mathew,M,156,1995
Katie,F,132,1995
Andrew,M,605,1995
Alexandra,F,313,1995
Angus,M,153,1995
Angela,F,131,1995
Dylan,M,589,1995
Brittany,F,306,1995
George,M,143,1995
Brianna,F,130,1995
Christopher,M,580,1995
Ashleigh,F,302,1995
Paul,M,141,1995
Melanie,F,128,1995
Alexander,M,556,1995
Brooke,F,298,1995
Connor,M,136,1995
Kimberle,F,127,1995
Jordan,M,538,1995
Nicole,F,290,1995
Jamie,M,136,1995
Jennifer,F,126,1995
Jacob,M,518,1995
Caitlin,F,284,1995
Stephen,M,129,1995
Lisa,F,126,1995
Samuel,M,517,1995
Elizabet,F,275,1995
Rhys,M,126,1995
Rhiannon,F,123,1995
Blake,M,453,1995
Taylor,F,274,1995
Tyler,M,125,1995
Claudia,F,122,1995
Ryan,M,450,1995
Chloe,F,268,1995
Kevin,M,124,1995
Tamara,F,122,1995
David,M,441,1995
Kate,F,264,1995
Shane,M,116,1995
Tori,F,121,1995
William,M,440,1995
Maddison,F,261,1995
Edward,M,116,1995
Claire,F,120,1995
Adam,M,417,1995
Sophie,F,257,1995
Oliver,M,115,1995
Vanessa,F,118,1995
Joshua,M,1280,1994
Jessica,F,1361,1994
Jarrod,M,230,1994
Paige,F,166,1994
Matthew,M,1238,1994
Sarah,F,946,1994
Kyle,M,226,1994
Katie,F,166,1994
Daniel,M,1193,1994
Emily,F,836,1994
Jonathan,M,221,1994
Lucy,F,164,1994
James,M,1052,1994
Rebecca,F,627,1994
Steven,M,219,1994
Tamara,F,162,1994
Luke,M,912,1994
Stephanie,F,609,1994
Jayden,M,204,1994
Holly,F,160,1994
Jake,M,901,1994
Emma,F,603,1994
Alex,M,195,1994
Anna,F,156,1994
Benjamin,M,890,1994
Samantha,F,544,1994
Dean,M,181,1994
Zoe,F,155,1994
Nicholas,M,844,1994
Amy,F,459,1994
Adrian,M,180,1994
Chelsea,F,154,1994
Thomas,M,815,1994
Laura,F,452,1994
Jamie,M,179,1994
Amelia,F,153,1994
Jack,M,807,1994
Hannah,F,439,1994
Mathew,M,176,1994
Brianna,F,153,1994
Mitchell,M,779,1994
Courtney,F,413,1994
Ethan,M,175,1994
Gemma,F,151,1994
Christopher,M,754,1994
Georgia,F,396,1994
Rhys,M,169,1994
Madison,F,150,1994
Jordan,M,729,1994
Rachel,F,369,1994
Kevin,M,165,1994
Melanie,F,150,1994
Alexander,M,720,1994
Brooke,F,341,1994
George,M,163,1994
Amber,F,149,1994
Nathan,M,712,1994
Caitlin,F,331,1994
Shaun,M,159,1994
Rhiannon,F,148,1994
Andrew,M,665,1994
Alexandra,F,326,1994
Cody,M,158,1994
Lisa,F,143,1994
Dylan,M,642,1994
Ashleigh,F,321,1994
Stephen,M,154,1994
Ebony,F,143,1994
Samuel,M,602,1994
Nicole,F,314,1994
Paul,M,147,1994
Angela,F,142,1994
Jacob,M,565,1994
Brittany,F,311,1994
Sam,M,144,1994
Tara,F,141,1994
Ryan,M,542,1994
Natalie,F,297,1994
Oliver,M,140,1994
Claire,F,141,1994
Blake,M,493,1994
Kate,F,296,1994
Simon,M,137,1994
Monique,F,141,1994
David,M,485,1994
Danielle,F,277,1994
Aidan,M,135,1994
Jacqueline,F,139,1994
Adam,M,455,1994
Melissa,F,275,1994
Shane,M,135,1994
Victoria,F,139,1994
Aaron,M,453,1994
Cassandra,F,275,1994
Kieran,M,134,1994
Ellen,F,137,1994
William,M,437,1994
Olivia,F,271,1994
Beau,M,132,1994
Tegan,F,136,1994
Joshua,M,1227,1993
Jessica,F,1375,1993
Corey,M,216,1993
Zoe,F,160,1993
Daniel,M,1132,1993
Sarah,F,875,1993
Mathew,M,214,1993
Maddison,F,158,1993
Matthew,M,1120,1993
Emily,F,817,1993
Jeremy,M,212,1993
Tara,F,152,1993
James,M,1057,1993
Rebecca,F,667,1993
Dean,M,192,1993
Paige,F,152,1993
Michael,M,923,1993
Emma,F,617,1993
Jonathan,M,181,1993
Madeleine,F,150,1993
Luke,M,905,1993
Samantha,F,602,1993
Ethan,M,172,1993
Amber,F,147,1993
Christopher,M,807,1993
Stephanie,F,574,1993
Kevin,M,169,1993
Lisa,F,147,1993
Nicholas,M,785,1993
Lauren,F,482,1993
Shaun,M,159,1993
Jacqueline,F,142,1993
Thomas,M,744,1993
Laura,F,445,1993
Jarrod,M,158,1993
Katherine,F,140,1993
Mitchell,M,727,1993
Hannah,F,392,1993
Paul,M,157,1993
Tayla,F,138,1993
Jake,M,703,1993
Rachel,F,389,1993
Jamie,M,157,1993
Angela,F,136,1993
Andrew,M,703,1993
Ashleigh,F,354,1993
Adrian,M,153,1993
Tegan,F,136,1993
Alexander,M,686,1993
Brittany,F,329,1993
Rhys,M,148,1993
Monique,F,129,1993
Nathan,M,630,1993
Nicole,F,328,1993
Stephen,M,146,1993
Amelia,F,129,1993
Samuel,M,621,1993
Georgia,F,327,1993
Sam,M,142,1993
Victoria,F,128,1993
Jack,M,619,1993
Melissa,F,326,1993
Shane,M,136,1993
Kimberley,F,123,1993
Dylan,M,613,1993
Natalie,F,324,1993
Simon,M,136,1993
Ellen,F,123,1993
Jacob,M,533,1993
Alexandra,F,322,1993
Cody,M,130,1993
Alana,F,121,1993
Jordan,M,524,1993
Elizabeth,F,297,1993
George,M,129,1993
Rebekah,F,120,1993
David,M,491,1993
Courtney,F,292,1993
Oliver,M,129,1993
Jordan,F,119,1993
Blake,M,487,1993
Caitlin,F,290,1993
Harley,M,126,1993
Claire,F,119,1993
Ryan,M,482,1993
Brooke,F,285,1993
Bryce,M,118,1993
Holly,F,119,1993
Timothy,M,453,1993
Kate,F,274,1993
Harrison,M,117,1993
Madison,F,119,1993
William,M,453,1993
Chloe,F,264,1993
Ben,M,115,1993
Tori,F,118,1993
Aaron,M,449,1993
Cassandra,F,259,1993
Angus,M,113,1993
Madeline,F,116,1993
Joshua,M,1277,1992
Jessica,F,1639,1992
Dean,M,206,1992
Madeleine,F,149,1992
Matthew,M,1275,1992
Sarah,F,915,1992
Alex,M,201,1992
Amber,F,143,1992
Daniel,M,1268,1992
Samantha,F,740,1992
Paul,M,200,1992
Bianca,F,142,1992
James,M,1211,1992
Rebecca,F,727,1992
Zachary,M,193,1992
Vanessa,F,141,1992
Michael,M,988,1992
Emily,F,719,1992
Jamie,M,185,1992
Angela,F,137,1992
Benjamin,M,922,1992
Emma,F,655,1992
Jeremy,M,185,1992
Jacqueline,F,136,1992
Christopher,M,900,1992
Stephanie,F,572,1992
Jackson,M,182,1992
Claire,F,132,1992
Mitchell,M,819,1992
Amy,F,516,1992
Ethan,M,182,1992
Amelia,F,129,1992
Thomas,M,801,1992
Laura,F,466,1992
Rhys,M,181,1992
Tegan,F,128,1992
Luke,M,760,1992
Hannah,F,402,1992
Simon,M,177,1992
Tiffany,F,128,1992
Nicholas,M,709,1992
Nicole,F,388,1992
Hayden,M,169,1992
Taylor,F,126,1992
Nathan,M,704,1992
Rachel,F,383,1992
Shane,M,162,1992
Paige,F,123,1992
Alexander,M,692,1992
Ashleigh,F,359,1992
Sam,M,156,1992
Holly,F,123,1992
Samuel,M,652,1992
Kate,F,341,1992
Richard,M,150,1992
Rebekah,F,123,1992
David,M,590,1992
Melissa,F,340,1992
Shaun,M,148,1992
Nicola,F,122,1992
Ryan,M,555,1992
Natalie,F,340,1992
Adrian,M,142,1992
Madeline,F,121,1992
Jake,M,549,1992
Alexandra,F,323,1992
Edward,M,141,1992
Gabrielle,F,121,1992
Timothy,M,503,1992
Danielle,F,321,1992
Angus,M,139,1992
Charlotte,F,120,1992
Aaron,M,492,1992
Elizabeth,F,292,1992
Kevin,M,139,1992
Rhiannon,F,120,1992
Adam,M,492,1992
Amanda,F,290,1992
Harley,M,134,1992
Stacey,F,118,1992
Jack,M,487,1992
Natasha,F,284,1992
Phillip,M,132,1992
Alana,F,117,1992
Dylan,M,486,1992
Chloe,F,284,1992
Trent,M,127,1992
Casey,F,117,1992
Blake,M,482,1992
Hayley,F,283,1992
George,M,126,1992
Victoria,F,117,1992
Jacob,M,462,1992
Cassandra,F,273,1992
Ben,M,126,1992
Shannon,F,116,1992
Cameron,M,423,1992
Sophie,F,273,1992
Reece,M,125,1992
Ashlee,F,116,1992
Matthew,M,1438,1991
Jessica,F,1724,1991
Simon,M,207,1991
Tara,F,138,1991
Daniel,M,1374,1991
Sarah,F,1024,1991
Corey,M,204,1991
Kelly,F,137,1991
James,M,1186,1991
Emma,F,736,1991
Jamie,M,201,1991
Melanie,F,133,1991
Joshua,M,1185,1991
Rebecca,F,736,1991
Paul,M,200,1991
Amelia,F,131,1991
Christopher,M,1017,1991
Samantha,F,719,1991
Jonathan,M,195,1991
Alana,F,131,1991
Michael,M,992,1991
Emily,F,635,1991
Liam,M,190,1991
Kimberley,F,130,1991
Benjamin,M,939,1991
Stephanie,F,570,1991
Hayden,M,174,1991
Angela,F,128,1991
Andrew,M,867,1991
Amy,F,452,1991
Jeremy,M,168,1991
Jasmine,F,126,1991
Thomas,M,848,1991
Melissa,F,436,1991
Alex,M,167,1991
Holly,F,125,1991
Luke,M,837,1991
Laura,F,432,1991
Ethan,M,162,1991
Kirsty,F,124,1991
Mitchell,M,820,1991
Rachel,F,423,1991
Shane,M,161,1991
Jacqueline,F,124,1991
Nicholas,M,688,1991
Nicole,F,407,1991
Sam,M,160,1991
Louise,F,120,1991
Samuel,M,646,1991
Ashleigh,F,380,1991
Zachary,M,160,1991
Tamara,F,118,1991
David,M,620,1991
Kate,F,350,1991
Phillip,M,153,1991
Crystal,F,117,1991
Alexander,M,609,1991
Hannah,F,336,1991
Richard,M,148,1991
Rhiannon,F,117,1991
Nathan,M,597,1991
Alexandra,F,332,1991
Shaun,M,147,1991
Amber,F,117,1991
Ryan,M,538,1991
Natalie,F,332,1991
George,M,146,1991
Catherine,F,116,1991
Adam,M,519,1991
Amanda,F,325,1991
Jackson,M,139,1991
Casey,F,116,1991
Timothy,M,501,1991
Hayley,F,322,1991
Trent,M,137,1991
Kristy,F,115,1991
Jake,M,493,1991
Elizabeth,F,316,1991
Edward,M,136,1991
Monique,F,115,1991
Aaron,M,449,1991
Sophie,F,295,1991
Adrian,M,136,1991
Tegan,F,113,1991
Jason,M,400,1991
Danielle,F,284,1991
Jarrod,M,136,1991
Belinda,F,112,1991
Jacob,M,396,1991
